GefilterdeAdressen: {orderID=288 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=174, order='iphone 12', Coordinaten_DMS='52° 21.7531011557557, 4° 56.361924058914354', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124495.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36255168592926 ||| Y= 4.939365400981906'}
GefilterdeAdressen: {orderID=289 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=174, order='iphone 12', Coordinaten_DMS='52° 21.7531011557557, 4° 56.361924058914354', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124495.0 ||| Y= 486168.0', Coordinaten_DECIMAL='X= 52.36255168592926 ||| Y= 4.939365400981906'}
GefilterdeAdressen: {orderID=454 naam=' dummy', straatnaam='Eerste Ceramstraat', postcode='1095BL', huisnummer=28, order='iphone 12', Coordinaten_DMS='52° 21.773352523185423, 4° 56.44099791747806', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124585.0 ||| Y= 486205.0', Coordinaten_DECIMAL='X= 52.36288920871976 ||| Y= 4.940683298624634'}
GefilterdeAdressen: {orderID=286 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=172, order='iphone 12', Coordinaten_DMS='52° 21.75360707254896, 4° 56.35311032241846', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124485.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.362560117875816 ||| Y= 4.939218505373641'}
GefilterdeAdressen: {orderID=287 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=172, order='iphone 12', Coordinaten_DMS='52° 21.75360707254896, 4° 56.35311032241846', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124485.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.362560117875816 ||| Y= 4.939218505373641'}
GefilterdeAdressen: {orderID=283 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=170, order='iphone 12', Coordinaten_DMS='52° 21.75358707249231, 4° 56.347825346179796', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124479.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.36255978454154 ||| Y= 4.93913042243633'}
GefilterdeAdressen: {orderID=284 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=170, order='iphone 12', Coordinaten_DMS='52° 21.75358707249231, 4° 56.347825346179796', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124479.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.36255978454154 ||| Y= 4.93913042243633'}
GefilterdeAdressen: {orderID=285 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=170, order='iphone 12', Coordinaten_DMS='52° 21.75358707249231, 4° 56.347825346179796', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124479.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.36255978454154 ||| Y= 4.93913042243633'}
GefilterdeAdressen: {orderID=280 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=168, order='iphone 12', Coordinaten_DMS='52° 21.753567068502804, 4° 56.34254037003258', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124473.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.36255945114171 ||| Y= 4.939042339500543'}
GefilterdeAdressen: {orderID=281 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=168, order='iphone 12', Coordinaten_DMS='52° 21.753567068502804, 4° 56.34254037003258', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124473.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.36255945114171 ||| Y= 4.939042339500543'}
GefilterdeAdressen: {orderID=282 naam=' dummy', straatnaam='Eerste Atjehstraat', postcode='1094KX', huisnummer=168, order='iphone 12', Coordinaten_DMS='52° 21.753567068502804, 4° 56.34254037003258', Coordinaten_DECIMAL_RIJKSDRIEHOEK='X= 124473.0 ||| Y= 486169.0', Coordinaten_DECIMAL='X= 52.36255945114171 ||| Y= 4.939042339500543'}
